SchoolName,DataID
A.C.J. PHAKADE PRIMARY SCHOOL,91WCTMFSHY
A.F. KRIEL VGK PRIMÊRE SKOOL,DLAYWM1E1B
A.F. LOUW LAERSKOOL,54AXV5WLYH
A.H. BARNARD PRIMÊRE SKOOL,TK6CZTST7C
A.Z. BERMAN HIGH SCHOOL,NUHUMZXEK6
A.Z. BERMAN PRIMARY SCHOOL,GINRQB3J5Y
AAN DE DOORNS NGK PRIMÊRE SKOOL,CCNFZK244R
ABEDARE PRIMARY SCHOOL,CIJSH4XEYB
ACACIA PRIMÊRE SKOOL,O4RTQ84OCO
ACADEMIA PRIMARY SCHOOL,6EV0ZXMQC1
ACCORDIONSTRAAT PRIMARY SCHOOL,9D4O7O6S10
ACHTERTUIN AME PRIMÊRE SKOOL,KV79MGK7VZ
AGAPESKOOL,MPJSH6I0FY
AGTERWITZENBERG VGK PRIMÊRE SKOOL,NNWAOSOMIQ
AGULHAS SCHOOL OF SKILLS,V0GGNAIV43
AKASIAPARK LAERSKOOL,YH70PI4IID
AKKERBOOM PRIMÊRE SKOOL,WH5ACWLO10
ALBERT MYBURGH SEKONDÊRE SKOOL,D6HSNLJCWI
ALBERTINIA HOËRSKOOL,CP5QLVKV4W
ALEXANDER SINTON SECONDARY,LYR00LGG1M
ALFONS PRIMÊRE SKOOL,VFRLY1Q87U
ALFRED STAMPER PUBLIC PRIMARY SCHOOL,RCE6QNH55J
ALICEDALE PRIMARY SCHOOL,XAG4IAOYHN
ALOE HIGH SCHOOL,U4299XTVEG
ALPHA PRIMÊRE SKOOL,WU90JX911C
ALPHA SKOOL,LK3I7SVYZ2
ALPINE PRIMARY SCHOOL,JA3XI4H1NK
ALTA DU TOIT SKOOL,95UAM5U4R9
ALTENA PRIMARY SCHOOL,KOLCGEQYRK
AMALIENSTEIN LB PRIMÊRE SKOOL,V1Z9UFLU4E
AMSTELHOF PRIMÊRE SKOOL,Y6UDVVGQE7
ANDILE PRIMARY SCHOOL,038WNYM9BI
ANNE PIENAAR GEDENK NGK PRIMÊRE SKOOL,DU8AASZ3BM
APEX HIGH SCHOOL,354PYH7V40
APEX PRIMARY SCHOOL,RS7X6P1SOJ
AQUILA HIGH SCHOOL,M2MDU30WNF
ARCADIA PRIMARY SCHOOL,8BT5X96Z9C
ARCADIA SENIOR SEKONDÊRE SKOOL,GGLQPAS1SD
ARIESKRAAL SSKV PRIMÊRE SKOOL,5PVALES634
ARISTEA PRIMARY SCHOOL,LT75VKZOO4
ASHBURY PRIMÊRE SKOOL,3MP1JHAD95
ASHTON LAERSKOOL,UEAG6FNS2O
ASHTON PUBLIC COMBINED SCHOOL,EHX0QK0HPA
ASHTON SEKONDÊRE SKOOL,8AS2RSDOH1
ASHTON VOCATIONAL ACADEMY,F5P4D0A0BG
ASTRA SKOOL,C5IO5KAB5Y
ATHLONE NORTH PRIMARY SCHOOL,A0J3ARLHF1
ATHLONE SECONDARY SCHOOL,00UU2XNWIS
ATHLONE SKOOL VIR BLINDES,UW04POAP0W
ATHWOOD PRIMARY SCHOOL,S54GSA9ZXP
ATLANTIS SEKONDÊRE SKOOL,9DU90KY42V
ATLANTIS VAARDIGHEIDSKOOL,V1QYNM8BGC
ATTIE VAN WYK VGK PRIMÊRE SKOOL,O8QTEPDBIJ
AUGSBURG LANDBOUGIMNASIUM,88J17R1OV2
AURIAL COLLEGE,OYF0N0E5XB
AURORA HOËRSKOOL,MEXBW0UW2O
AVIAN PARK PRIMÊRE SKOOL,BDWA4GZ9CT
AVONDALE PRIMARY SCHOOL,EJ0X4RH50R
AVONTUUR LB PRIMÊRE SKOOL,WIGBJPF1YD
AXIOS SCHOOL OF SKILLS,569NOMLY9M
B.F. OOSTHUIZEN PRIMÊRE SKOOL,TTX6S1LZSU
BAARTMANSFONTEIN NGK PRIMÊRE SKOOL,OILBOZ9J8O
BADEN NGK PRIMÊRE SKOOL,6X4IAUE9WZ
BAKERVILLE PRIMÊRE SKOOL,852OOHWRAE
BALVENIE PRIMARY SCHOOL,CQM32GIJRG
BARDALE PRIMARY SCHOOL,ENODB8U8Y0
BARDALE SECONDARY SCHOOL,3BAB1TXSN5
BARRYDALE HOËRSKOOL,244NEQJXCZ
BASTIAANSE SEKONDÊRE SKOOL,N8881A6RCL
BASTION PRIMARY SCHOOL,ESOQENPIKM
BATAVIA SPESIALE SKOOL,73NHB1Z939
BATTSWOOD PRIMARY SCHOOL,UH34FCD1AT
BAY PRIMARY SCHOOL,24JHYUOYBR
BEACON HILL SEKONDÊR,TCB1O1QDNM
BEACON SKOOL,UW2AE5BQS6
BEACON VIEW PRIMARY SCHOOL,422LH0K59P
BEAUFORT WES VOORBEREIDINGSKOOL,G8CW8WWOG5
